date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.715339,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.715339,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.717339200,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.715339,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.717339200,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,119.0,13:41:07.073085300,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.715339,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.717339200,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,119.0,13:41:07.073085300,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,119.0,13:41:07.074087,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.715339,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
date,fps,time,plyrName,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrLocation,plyrHealth,plyrHunger,plyrSat
2024-11-29,51.0,13:40:39.717339200,literal{minecrafter256},[],,,100,"(12.735507396761113, 68.0, 60.838852439497416)",20.0,20.0,20.0
